id,hospital_id,last_name,first_name,email,specialty,rating
1,1,ENKESHAFI,ARDALAN,naronsohn0@about.me,Internal Medicine,6
2,2,CIBULL,THOMAS,hannand1@icio.us,Pathology,8
3,3,KHALIL,RASHID,hjanodet2@washingtonpost.com,Anesthesiology,8
4,4,GIRARDI,DAVID,agoucher3@fda.gov,Family Practice,8
5,5,VELOTTA,JENNIFER,lorrey4@instagram.com,Obstetrics & Gynecology,8
6,6,ROTHCHILD,KEVIN,tboote5@1und1.de,General Surgery,3
7,7,WEIGAND,FREDERICK,kwareham6@vimeo.com,Family Practice,1
8,8,SEMONCHE,AMANDA,lthackwray7@cbsnews.com,Internal Medicine,3
9,9,KIM,DAE,nshakspeare8@arstechnica.com,Urology,5
10,10,BENHARASH,PEYMAN,dsnewin9@gmpg.org,Cardiac Surgery,10
11,11,GATTON,ZACHARY,sgreenhalfa@bizjournals.com,Anesthesiology,9
12,12,ZUMWALT,JULIETTE,sthurnerb@blog.com,Physician Assistant,10
13,13,DEITLE,JAMES,sbraitlingc@4shared.com,Physician Assistant,1
14,14,KOCHANEK,MICHELLE,eeyed@kickstarter.com,Physical Therapist in Private Practice,4
15,15,LOHANO,JAIVANTI,lennalse@zdnet.com,Family Practice,3
16,16,STELLINGWORTH,MARK,bduguef@epa.gov,Internal Medicine,8
17,17,NICHOLS,LAWRENCE,vcoursong@jiathis.com,Dermatology,3
18,18,MILLER,KATHLEEN,vshillidayh@patch.com,Certified Registered Nurse Anesthetist (CRNA),10
19,19,NICASTRO,JON,acorringhami@pcworld.com,Physical Therapist in Private Practice,7
20,20,DAY,RONNIE,hbrosinij@mediafire.com,Physical Therapist in Private Practice,3
21,21,CARAGOL,JENNIFER,fbrucek@diigo.com,Family Practice,1
22,22,STEVENS,CHARLES,pgillbardl@yelp.com,Anesthesiology,5
23,23,KANTER,DAVID,atabordm@gmpg.org,Physical Medicine and Rehabilitation,7
24,24,WOLSKI,MICHAL,joshean@buzzfeed.com,Radiation Oncology,5
25,25,TRAN,MARY,awaitingo@qq.com,Physician Assistant,2
26,26,TRIVEDI,VINOD,dvanichkinp@bloglines.com,Infectious Disease,9
27,27,JONES,JACLYN,vilsonq@weebly.com,Orthopedic Surgery,9
28,28,TAVORA,SARA,tguyonnetr@com.com,Licensed Clinical Social Worker,10
29,29,LUECHINGER,INGE,rmaros@discovery.com,Certified Clinical Nurse Specialist,9
30,30,SAHA,LUCILLE,ysouthertont@time.com,Family Practice,2
31,31,GOAD,KAREN,rdelaharpeu@apache.org,Physical Therapist in Private Practice,10
32,32,SRINIVASAN,LAKSHMI,ibogartv@state.gov,Endocrinology,1
33,33,GOTESMAN,ALEXANDER,nburrassw@sohu.com,Urology,3
34,34,DEVENS,CHRISTOPHER,bbartolomeazzix@bizjournals.com,Chiropractic,10
35,35,OWENS,JUSTIN,ahengoedy@blogger.com,Diagnostic Radiology,8
36,36,HOPKINS,PATRICIA,aligertonz@microsoft.com,Rheumatology,7
37,37,SHRESTHA,SALONA,hchapelhow10@yahoo.com,Internal Medicine,4
38,38,MINNER,MEGAN,ccaldes11@imgur.com,Chiropractic,7
39,39,DEGRAFF,THOMAS,rmapples12@reference.com,General Practice,1
40,40,KADIYALA,SAMATHA,cmccray13@bandcamp.com,Obstetrics & Gynecology,9
41,41,BRADT,CARIE,nhowsego14@forbes.com,Physician Assistant,9
42,42,LOCKMAN,BRETT,dhull15@icq.com,Physical Medicine and Rehabilitation,3
43,43,HARTMAN,MATTHEW,scancelier16@163.com,Diagnostic Radiology,1
44,44,GRAZIANO,VINCENT,sbjorkan17@csmonitor.com,Diagnostic Radiology,9
45,45,IGLESIAS,NAYVIS,nfinlry18@skype.com,Family Practice,7
46,46,CHOUDHARY,SAHER,nbrougham19@java.com,Neurology,5
47,47,HAMMAN,DANIEL,abenasik1a@ezinearticles.com,Orthopedic Surgery,1
48,48,GALUSKA,MICHAEL,dbroadfoot1b@walmart.com,Emergency Medicine,9
49,49,SWINEHART,JOSEPH,bmcgiveen1c@aol.com,Physical Therapist in Private Practice,5
50,50,GILL,ANITA,hnyland1d@columbia.edu,Neurology,5
51,51,VORA,AVANI,ajenton1e@clickbank.net,Physical Therapist in Private Practice,5
52,52,MORRISON,LAURA,dstocken1f@jigsy.com,Dermatology,8
53,53,PINKERTON,KENNETH,akempshall1g@irs.gov,Physical Therapist in Private Practice,2
54,54,PAKKIVENKATA,UMA,mborchardt1h@wikipedia.org,Nephrology,10
55,55,SANTIAGO,CYNTHIA,msamuel1i@themeforest.net,Family Practice,1
56,56,FARAHANI,CYRUS,psaxby1j@virginia.edu,Emergency Medicine,1
57,57,PLETIN,TANYA,gmathie1k@gnu.org,Physician Assistant,8
58,58,MORGAN,KATHLEEN,rcoules1l@ucla.edu,Physician Assistant,6
59,59,PHILBRICK,NATALIE,lchudleigh1m@imageshack.us,Internal Medicine,7
60,60,NORDAHL,GWEN,pfranzel1n@naver.com,Physician Assistant,2
61,61,RUITER,TODD,ccowling1o@opera.com,Hand Surgery,6
62,62,CABANELLAS,JENNINE,kdaburn1p@sitemeter.com,Ophthalmology,3
63,63,OSETSKY,JOANNE,oroiz1q@redcross.org,Nurse Practitioner,6
64,64,RIGGLE,ERIN,tfazackerley1r@facebook.com,Pulmonary Disease,3
65,65,COULSON,ANDREW,rpashenkov1s@disqus.com,Chiropractic,2
66,66,STAGGERS,MISTI,gchaperlin1t@gnu.org,Nurse Practitioner,6
67,67,FETTMAN,NICHOLAS,kcrocumbe1u@histats.com,Otolaryngology,1
68,68,PACE,STANLEY,pelmhurst1v@about.com,Pathology,3
69,69,SMITH,ADAM,jharmon1w@google.ru,Plastic and Reconstructive Surgery,9
70,70,PADRO-GUZMAN,JESUEL,bharfoot1x@xinhuanet.com,Physical Medicine and Rehabilitation,5
71,71,BEAUMONT,LAURA,ldudson1y@hud.gov,Psychologist Clinical,2
72,72,OKETOKUN,ADEFOLAJU,yhunnam1z@ycombinator.com,General Practice,1
73,73,DOUGLAS-LEWIS,YVETTE,lshory20@uiuc.edu,Family Practice,3
74,74,WALNOHA,WADE,mfiander21@amazonaws.com,Physician Assistant,10
75,75,PALASZEWSKI,DAWN,jmcasparan22@imageshack.us,Obstetrics & Gynecology,5
76,76,LEASURE,EMILY,bhallor23@etsy.com,Internal Medicine,8
77,77,AL-SAAB,SAAD,fhillburn24@blogspot.com,Cardiovascular Disease (Cardiology),1
78,78,DURHAM,BENJAMIN,mforgie25@newsvine.com,Physician Assistant,9
79,79,GAMBOA,STEPHEN,xreap26@toplist.cz,Emergency Medicine,4
80,80,QUEZADA JOAQUIN,NESTOR,channam27@goo.gl,Dental,9
81,81,MILLER,LAURA,elubeck28@apple.com,Neurology,7
82,82,BENEZRA,KAREN,cdenk29@un.org,Osteopathic Manipulative Medicine,10
83,83,JEGEDE,OLUGBEMIGA,jbalentyne2a@e-recht24.de,Internal Medicine,8
84,84,QUINONEZ,ALNER,ariolfi2b@a8.net,Family Practice,4
85,85,MAREEDU,JYOTSNA,tformigli2c@edublogs.org,Internal Medicine,3
86,86,NASAJPOUR,HOSSEIN,lgatrill2d@cam.ac.uk,Plastic and Reconstructive Surgery,2
87,87,RULE,CINDI,mdunnett2e@imgur.com,Nurse Practitioner,5
88,88,HASAN,SABA,shandy2f@npr.org,Dental,5
89,89,HOMAN,ZENA,bdixon2g@shop-pro.jp,Obstetrics & Gynecology,3
90,90,GVOZDJAN,DRAGOSLAV,hbastiman2h@tmall.com,Psychiatry,9
91,91,GAMBACORTA,KATHERINE,rreddel2i@usgs.gov,Anesthesiology,9
92,92,MENA,BRIDGIT,bwoodrup2j@accuweather.com,Physician Assistant,8
93,93,FARRAR,DAVID,mpashbee2k@gov.uk,Physician Assistant,4
94,94,GUPTA,MAMTA,pskeech2l@wunderground.com,Internal Medicine,6
95,95,FEREIDOUNI,SAM,bmalby2m@comcast.net,Family Practice,9
96,96,HOWARD,TIFFANY,fjzak2n@spotify.com,Physical Medicine and Rehabilitation,3
97,97,DANCIU,SORIN,lgiorgio2o@pcworld.com,Cardiovascular Disease (Cardiology),2
98,98,YAMANI,HUSSEIN,mjermin2p@java.com,Cardiovascular Disease (Cardiology),8
